Timestamp;co2;humidity;light;soilHumidity;soilTemperature;temperature
2022-02-09 00:07:25;353.60377358490564;26;9;40.49056603773586;23;23
2022-02-09 00:27:35;352.76785714285717;26;9;39.83834586466166;23;23
2022-02-09 00:47:45;354.6923076923077;26;9;40.386639676113354;23;23
2022-02-09 01:07:55;351.59183673469386;26;9;39.8796992481203;23;23
2022-02-09 01:28:05;355.9148936170213;26;9;40.55543113101904;23;23
2022-02-09 01:48:15;358.69565217391306;26;9;40.304347826086946;23;23
2022-02-09 02:08:25;359.9148936170213;26;9;40.302351623740215;23;23
2022-02-09 02:28:35;354.04347826086956;26;9;40.128146453089236;23;23
2022-02-09 02:48:45;356.1363636363636;26;9;40.32057416267942;23;23
2022-02-09 03:08:55;351.2608695652174;26;9;40.26544622425629;23;23
2022-02-09 03:29:05;349.1777777777778;26;9;40.57777777777777;23;22.91111111111111
2022-02-09 03:49:15;349;26;9;40.269005847953224;23;22.6
2022-02-09 04:09:25;349.6046511627907;26;9;39.953488372093034;23;22.046511627906977
2022-02-09 04:29:35;348.3076923076923;26;9;40.12955465587045;23;22
2022-02-09 05:09:55;343.35714285714283;25.38095238095238;8.785714285714286;45.36842105263158;22.452380952380953;21.476190476190474
2022-02-09 05:30:05;349.1090909090909;26;9;40.394258373205744;23;22
2022-02-09 05:50:15;354.3333333333333;26;9;40.45224171539961;23;22
2022-02-09 06:10:25;350.140350877193;26;9;40.5466297322253;23;22
2022-02-09 06:30:35;350.1296296296296;26;9;40.36647173489279;23;22
2022-02-09 06:50:45;349.8888888888889;26;9;39.65886939571151;23;22.166666666666668
2022-02-09 07:10:55;351.9818181818182;26;9;39.12153110047848;23;23
2022-02-09 07:31:05;351.0740740740741;26;9;39.142300194931785;23;23
2022-02-09 07:51:15;348.4901960784314;26;9;38.56553147574819;23;23
2022-02-09 08:11:25;351.92857142857144;26;9;38.61278195488723;23;23
2022-02-09 08:31:35;356.78846153846155;26;25.615384615384617;38.59716599190283;23;23.673076923076923
2022-02-09 08:51:45;361.08;26;9;37.82526315789473;23;24
2022-02-09 09:11:55;365.64444444444445;26;9;37.78947368421053;23;24
2022-02-09 09:32:05;364.1111111111111;26;9;37.08070175438596;23;24
2022-02-09 09:52:15;357.60377358490564;26;9;37.064548162859985;23;24
2022-02-09 10:12:25;362.52941176470586;25.92156862745098;9;37.30030959752321;23;24
2022-02-09 10:32:35;365.4878048780488;26;9;36.32862644415917;23;24
2022-02-09 10:52:45;361.95238095238096;26;9;37.07268170426065;23;24.61904761904762
2022-02-09 11:12:55;361.95;26;9;36.81578947368421;23;25
2022-02-09 11:33:05;356.1621621621622;25.945945945945947;9;36.58321479374109;23;25
2022-02-09 11:53:15;357.22222222222223;26;9;37.01286549707603;23;25
2022-02-09 12:13:25;360.06666666666666;26;9;36.54784688995216;23;25
2022-02-09 12:33:35;361.90909090909093;26;9;35.813397129186576;23;25
2022-02-09 12:53:45;347.4054054054054;25.2972972972973;9.35135135135135;42.611664295874824;22.37837837837838;24.324324324324323
2022-02-09 13:13:55;358.5660377358491;26;10;36.70109235352533;23;25
2022-02-09 13:34:05;358.81481481481484;25.962962962962962;10;36.48927875243666;23;25
2022-02-09 13:54:15;357.07142857142856;26;10;36.201127819548866;23;25
2022-02-09 14:14:25;358.8;26;10;35.718660287081356;23;25
2022-02-09 14:34:35;355.962962962963;25.925925925925927;10;35.65692007797272;23;25
2022-02-09 14:54:45;354.7307692307692;26;10;35.77732793522266;23;25.615384615384617
2022-02-09 15:14:55;351.4230769230769;26;10;35.421052631578945;23;26
2022-02-09 15:35:05;343.61538461538464;26;10;35.461538461538446;23;26
2022-02-09 15:55:15;346.9230769230769;26;10;35.08906882591093;23;26
2022-02-09 16:15:25;348.88461538461536;26;10;35.028340080971674;23;26
2022-02-09 16:35:35;351.16;26;9.6;35.355789473684226;23;26
2022-02-09 16:55:45;351.7083333333333;26;9;34.9824561403509;23;25.833333333333332
2022-02-09 17:15:55;350.8723404255319;26;9;35.281075027995506;23;25.595744680851062
2022-02-09 17:36:05;353.8636363636364;26;9;35.48803827751195;23;25.136363636363637
2022-02-09 17:56:15;352.9574468085106;26;9;35.231802911534174;23;25
2022-02-09 18:16:25;357.4888888888889;26;9;34.16374269005849;23;25.044444444444444
2022-02-09 18:36:35;363.5777777777778;26;9;34.29473684210528;23;25.044444444444444
2022-02-09 18:56:45;370.5531914893617;26;9;34.44120940649497;23;25.04255319148936
2022-02-09 19:16:55;370.5777777777778;26;9;35.209356725146215;23;25.177777777777777
2022-02-09 19:37:05;373.04347826086956;26;9;34.837528604119;23;25.130434782608695
2022-02-09 19:57:15;376.95652173913044;26;9;34.681922196796314;23;25.130434782608695
2022-02-09 20:17:25;384.22857142857146;26;9;35.31428571428574;23;25.057142857142857
2022-02-09 20:57:45;375.7142857142857;24.761904761904763;8.571428571428571;45.50375939849623;21.904761904761905;23.80952380952381
2022-02-09 21:17:55;395.10714285714283;26;9;35.597744360902276;23;25
2022-02-09 21:38:05;397.6140350877193;26;9;35.473684210526315;23;24.94736842105263
2022-02-09 21:58:15;400.48214285714283;26.160714285714285;9;35.46616541353385;23;24.107142857142858
2022-02-09 22:18:25;398.23636363636365;26.6;9;35.68421052631579;23;24
2022-02-09 22:38:35;401.7307692307692;26.923076923076923;9;36.17004048582997;23;24
2022-02-09 22:58:45;396.6909090909091;27;9;35.859649122807;23;24
2022-02-09 23:18:55;404;27;9;36.202429149797595;23;24
2022-02-09 23:39:05;406.46153846153845;27;9;36.878542510121456;23;24
2022-02-09 23:59:15;407.14814814814815;27;9;36.280701754385944;23;24
2022-02-10 00:19:25;410.2307692307692;27;9;36.43724696356276;23;24
2022-02-10 00:39:35;421.8679245283019;27;9;36.49056603773586;23;24
2022-02-10 00:59:45;416.88;27;9;36.616842105263174;23;23.46
2022-02-10 01:19:55;419.8333333333333;27;9;36.53947368421053;23;23
2022-02-10 01:40:05;420.68;27;9;36.79157894736842;23;23
2022-02-10 02:00:15;431.63829787234044;27;9;36.550951847704376;23;23
